Index;Version ID;Version Name;Date
1;12329344;1.5.0;2014-05-21
2;12329549;1.6.0;2015-04-15
3;12331964;1.7.0;2015-05-18
4;12332258;1.8.0;2015-07-11
5;12333055;1.8.1;2015-07-21
6;12333987;format-2.3.1;2015-12-17
7;12333035;1.9.0;2016-10-23
8;12340565;1.8.2;2017-01-23
9;12334638;cpp-1.0.0;2017-03-13
10;12340232;cpp-1.1.0;2017-05-22
11;12340501;cpp-1.2.0;2017-08-01
12;12341112;cpp-1.3.0;2017-09-25
13;12341664;cpp-1.3.1;2017-10-22
14;12341419;cpp-1.4.0;2018-02-27
15;12338605;1.10.0;2018-04-10
16;12342810;format-2.5.0;2018-04-18
17;12343079;1.8.3;2018-05-11
18;12342373;cpp-1.5.0;2018-08-28
19;12343789;format-2.6.0;2018-10-03
20;12343351;1.10.1;2019-02-01
21;12344277;format-2.7.0;2019-10-04
22;12343011;1.11.0;2019-12-06
