Project name;PDFBOX
GitHub repository link;https://github.com/apache/pdfbox/

Non-linked tickets;424
Non-linked tickets Percentage;19,602404

MONTH-YEAR;NUMBER BUG FIXED;TOTAL COMMITS;MEAN;MEAN+3STD;MEAN-3STD
8-2008;2;21;12,076389;38,70002;0,0
9-2008;0;11;12,076389;38,70002;0,0
10-2008;1;4;12,076389;38,70002;0,0
11-2008;4;14;12,076389;38,70002;0,0
12-2008;2;7;12,076389;38,70002;0,0
1-2009;6;16;12,076389;38,70002;0,0
2-2009;11;23;12,076389;38,70002;0,0
3-2009;6;14;12,076389;38,70002;0,0
4-2009;17;37;12,076389;38,70002;0,0
5-2009;9;19;12,076389;38,70002;0,0
6-2009;3;7;12,076389;38,70002;0,0
7-2009;6;28;12,076389;38,70002;0,0
8-2009;1;15;12,076389;38,70002;0,0
9-2009;7;36;12,076389;38,70002;0,0
10-2009;3;8;12,076389;38,70002;0,0
11-2009;4;16;12,076389;38,70002;0,0
12-2009;5;30;12,076389;38,70002;0,0
1-2010;5;27;12,076389;38,70002;0,0
2-2010;4;45;12,076389;38,70002;0,0
3-2010;13;56;12,076389;38,70002;0,0
4-2010;4;20;12,076389;38,70002;0,0
5-2010;14;27;12,076389;38,70002;0,0
6-2010;17;41;12,076389;38,70002;0,0
7-2010;2;19;12,076389;38,70002;0,0
8-2010;5;20;12,076389;38,70002;0,0
9-2010;13;35;12,076389;38,70002;0,0
10-2010;12;27;12,076389;38,70002;0,0
11-2010;15;23;12,076389;38,70002;0,0
12-2010;5;21;12,076389;38,70002;0,0
1-2011;11;21;12,076389;38,70002;0,0
2-2011;2;11;12,076389;38,70002;0,0
3-2011;10;18;12,076389;38,70002;0,0
4-2011;1;7;12,076389;38,70002;0,0
5-2011;5;9;12,076389;38,70002;0,0
6-2011;18;26;12,076389;38,70002;0,0
7-2011;4;30;12,076389;38,70002;0,0
8-2011;9;28;12,076389;38,70002;0,0
9-2011;4;12;12,076389;38,70002;0,0
10-2011;6;27;12,076389;38,70002;0,0
11-2011;2;12;12,076389;38,70002;0,0
12-2011;14;29;12,076389;38,70002;0,0
1-2012;8;16;12,076389;38,70002;0,0
2-2012;5;13;12,076389;38,70002;0,0
3-2012;12;15;12,076389;38,70002;0,0
4-2012;5;24;12,076389;38,70002;0,0
5-2012;11;48;12,076389;38,70002;0,0
6-2012;4;14;12,076389;38,70002;0,0
7-2012;8;24;12,076389;38,70002;0,0
8-2012;6;33;12,076389;38,70002;0,0
9-2012;1;4;12,076389;38,70002;0,0
10-2012;6;16;12,076389;38,70002;0,0
11-2012;10;19;12,076389;38,70002;0,0
12-2012;16;21;12,076389;38,70002;0,0
1-2013;6;11;12,076389;38,70002;0,0
2-2013;5;12;12,076389;38,70002;0,0
3-2013;9;34;12,076389;38,70002;0,0
4-2013;9;23;12,076389;38,70002;0,0
5-2013;11;22;12,076389;38,70002;0,0
6-2013;6;13;12,076389;38,70002;0,0
7-2013;4;8;12,076389;38,70002;0,0
8-2013;11;22;12,076389;38,70002;0,0
9-2013;7;14;12,076389;38,70002;0,0
10-2013;12;15;12,076389;38,70002;0,0
11-2013;9;27;12,076389;38,70002;0,0
12-2013;6;16;12,076389;38,70002;0,0
1-2014;20;43;12,076389;38,70002;0,0
2-2014;23;103;12,076389;38,70002;0,0
3-2014;17;144;12,076389;38,70002;0,0
4-2014;18;53;12,076389;38,70002;0,0
5-2014;22;76;12,076389;38,70002;0,0
6-2014;34;149;12,076389;38,70002;0,0
7-2014;48;121;12,076389;38,70002;0,0
8-2014;24;105;12,076389;38,70002;0,0
9-2014;46;125;12,076389;38,70002;0,0
10-2014;36;146;12,076389;38,70002;0,0
11-2014;39;143;12,076389;38,70002;0,0
12-2014;34;291;12,076389;38,70002;0,0
1-2015;27;379;12,076389;38,70002;0,0
2-2015;37;224;12,076389;38,70002;0,0
3-2015;17;207;12,076389;38,70002;0,0
4-2015;16;124;12,076389;38,70002;0,0
5-2015;19;210;12,076389;38,70002;0,0
6-2015;12;192;12,076389;38,70002;0,0
7-2015;25;179;12,076389;38,70002;0,0
8-2015;15;79;12,076389;38,70002;0,0
9-2015;18;201;12,076389;38,70002;0,0
10-2015;24;157;12,076389;38,70002;0,0
11-2015;30;106;12,076389;38,70002;0,0
12-2015;22;101;12,076389;38,70002;0,0
1-2016;24;117;12,076389;38,70002;0,0
2-2016;13;37;12,076389;38,70002;0,0
3-2016;12;39;12,076389;38,70002;0,0
4-2016;11;33;12,076389;38,70002;0,0
5-2016;18;91;12,076389;38,70002;0,0
6-2016;5;83;12,076389;38,70002;0,0
7-2016;11;71;12,076389;38,70002;0,0
8-2016;20;67;12,076389;38,70002;0,0
9-2016;22;80;12,076389;38,70002;0,0
10-2016;9;54;12,076389;38,70002;0,0
11-2016;23;60;12,076389;38,70002;0,0
12-2016;12;48;12,076389;38,70002;0,0
1-2017;14;66;12,076389;38,70002;0,0
2-2017;23;69;12,076389;38,70002;0,0
3-2017;15;60;12,076389;38,70002;0,0
4-2017;15;119;12,076389;38,70002;0,0
5-2017;21;51;12,076389;38,70002;0,0
6-2017;12;80;12,076389;38,70002;0,0
7-2017;14;63;12,076389;38,70002;0,0
8-2017;7;72;12,076389;38,70002;0,0
9-2017;13;41;12,076389;38,70002;0,0
10-2017;20;58;12,076389;38,70002;0,0
11-2017;11;50;12,076389;38,70002;0,0
12-2017;6;41;12,076389;38,70002;0,0
